Station|Year|Month|Day|Hour|Max Load
COAST|2013|8|13|16|18779.025510000003
EAST|2013|8|13|16|2380.1654089999956
FAR_WEST|2013|8|13|16|2281.2722140000024
NORTH|2013|8|13|16|1544.7707140000005
NORTH_C|2013|8|13|16|24415.570226999993
SOUTHERN|2013|8|13|16|5494.157645
SOUTH_C|2013|8|13|16|11433.30491600001
WEST|2013|8|13|16|1862.6137649999998
